,,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Aberdeen City,S12000033,69034,78625,90187,116250,144132,142498,145000,149625,155187,154625,169056,182556,178750
Aberdeenshire,S12000034,86062,101250,116479,142897,177500,176983,177000,184375,188093,186231,199881,217225,210062
Angus,S12000041,72612,80244,97747,116575,126750,125567,122812,126562,126000,128055,134250,143875,141368
Argyll and Bute,S12000035,70375,82875,100250,113550,129762,120056,126375,123525,120500,122750,119043,126250,127837
Clackmannanshire,S12000005,59312,75468,82208,102732,113268,102562,110124,98937,95835,99000,109312,117749,110562
Dumfries and Galloway,S12000006,70125,87062,95887,110625,121637,120000,118140,118937,116775,115694,113250,120757,119125
Dundee City,S12000042,58249,65859,77000,91762,112106,100500,108618,102187,103375,102762,109952,110125,110296
East Ayrshire,S12000008,56573,68675,77874,91250,109146,94250,91280,91875,93906,85720,82815,89062,96250
East Dunbartonshire,S12000045,109648,130300,143750,152312,163062,158437,157093,160375,170819,175537,175375,187500,176747
East Lothian,S12000010,103150,116568,131743,149534,169260,162749,153743,165062,155625,155625,158533,178873,169375
East Renfrewshire,S12000011,128828,141500,142562,155305,168028,170624,171250,166514,175750,180637,188390,207106,198765
"Edinburgh, City of",S12000036,125000,140072,146700,161894,174177,166231,165750,170518,174550,171347,172750,187625,186647
Eilean Siar,S12000013,51250,63137,71762,76125,87625,88625,82412,87250,86093,93582,92775,94200,88625
Falkirk,S12000014,64737,78323,84875,95750,106286,109062,100500,99125,103703,99875,99500,106009,107750
Fife,S12000015,70958,80094,89093,103000,115125,116437,113911,114312,113000,111811,113248,118975,123750
Glasgow City,S12000046,84562,98487,105750,115398,126419,116437,114021,112875,112068,104375,105672,109000,117143
Highland,S12000017,76250,95126,107199,131625,143312,136562,137437,134250,139375,137000,139237,149000,153812
Inverclyde,S12000018,61308,75250,82343,88312,99250,95937,90250,97625,89372,89187,95000,97061,105381
Midlothian,S12000019,89879,97931,112500,127408,144017,145522,141998,145112,142250,144309,149973,155375,162000
Moray,S12000020,66368,77698,87709,105998,130250,124437,124500,122812,120612,130250,127425,133750,136721
North Ayrshire,S12000021,56651,68000,75055,86749,98162,94250,91062,94749,91312,86461,86000,98312,98289
North Lanarkshire,S12000044,59000,71311,79668,90487,97225,95500,92523,93312,90974,89875,91324,94151,99062
Orkney Islands,S12000023,56787,71953,85207,91943,102102,107893,109137,105687,114757,115250,117062,117250,122500
Perth and Kinross,S12000024,89997,104466,115516,133000,147879,142531,144000,149437,152250,147248,153187,161063,162250
Renfrewshire,S12000038,68374,75562,86000,96328,109500,100937,104687,101004,95437,92124,99748,109156,113500
Scotland,S92000003,79500,92062,102000,117500,129625,126132,126623,126998,129500,125753,129500,138634,139639
Scottish Borders,S12000026,80419,96703,105588,124407,140825,135625,139625,142375,148349,135562,135065,146771,146125
Shetland Islands,S12000027,55037,69812,69770,81417,96468,96786,97810,108421,116243,113750,123000,133131,137937
South Ayrshire,S12000028,79777,89906,105650,119875,133611,123349,122452,124725,121312,120755,122277,123000,132250
South Lanarkshire,S12000029,71277,83581,92500,105250,114937,110162,107812,109248,111800,104375,103123,110750,114593
Stirling,S12000030,95624,109283,116218,130250,147243,149832,138937,141375,154124,149187,137256,149875,147960
West Dunbartonshire,S12000039,62418,72875,80187,86012,95937,91750,86498,90405,93125,90750,90743,95376,94250
West Lothian,S12000040,80249,91873,97763,112119,123843,120936,119587,117750,119250,118562,121625,131238,137993
